,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
ANTO,Antofagasta plc,Basic Materials,$16.7B,"Antofagasta plc is a UK-based copper mining company with interests in transport and its core business is mining, mainly in Chile.
",1776.0,-2.42,"Unfortunately, I don't have enough specific information to pinpoint the exact reason for the -2.42% stock price change for Antofagasta plc on February 24, 2025.

Here's what I can tell you based on recent news:

*   **General Performance:** Antofagasta had a strong performance in 2024, with revenue up 5% and increased copper prices. They are maintaining stable production guidance for 2025.
*   **Positive Indicators:** Recent reports (mid-February 2025) highlight strong revenue growth, cash flow, and widened EBITDA margins for Antofagasta.
*   **Analyst Views:** At the end of January 2025, an analyst suggested a potential upside for the company's stock.
*   **Dividend:** A final dividend of 23.5 cents/share was proposed.

To understand the specific cause of the stock price change on February 24, 2025, you would need to consult real-time financial news sources for any specific announcements or market factors that may have influenced the stock that day.
",-3.2679738562091507,4.6861184792219275,-0.3942947649981156
ENT,Entain Plc,Consumer Cyclical,$4.7B,"Entain PLC is a global sports betting and gaming company operating online and in retail, with brands like Ladbrokes and Coral.
",723.2,-2.01,"On February 24, 2025, Entain Plc experienced a stock change of -2.01%. While I do not have enough information to provide definitive reasons for this specific change, I can offer some context and potential contributing factors based on recent news:

*   **CEO Departure:** On February 11, 2025, Entain announced the sudden departure of CEO Gavin Isaacs ""by mutual agreement"" after only five months in the role. This news caused the shares to plunge more than 10% at the time, raising concerns among investors about the company's long-term direction.
*   **Interim Leadership:** Following Isaacs' departure, Stella David, the company's non-executive Chair, stepped in as interim CEO. While David's familiarity with Entain's operations may provide some stability, the leadership change introduces uncertainty.
*   **Analyst Sentiment:** Some analysts have expressed concerns that the leadership uncertainty could weigh on investor sentiment.
*   **Citigroup:** Citigroup raised Entain's price target to 1,100 (1,050) pence with a 'buy' rating.

In addition to these factors, it's important to consider the company's fundamentals and overall performance:

*   **Financial Performance:** Entain has reiterated its FY24 EBITDA guidance and expects to be at the top of the £1,040m-£1,090m range. Further details on Entain's FY24 results and current trading will be provided on March 6, 2025.
*   **Long-Term Challenges:** Entain has faced challenges in recent years, with a 56% decline in share price over the past three years.
*   **Revenue Growth:** Despite the share price decline, Entain's revenue has increased by 9.7% over the three years.

It's worth noting that the stock market is influenced by various factors, and a single day's change may not necessarily indicate a long-term trend.
",-5.389851268731135,5.700085807827761,-18.750259800255343
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,$16.8B,"InterContinental Hotels Group PLC (IHG) owns, manages, franchises, and leases hotels and resorts across various brands and segments globally.
",9702.0,-2.0,"On February 24, 2025, InterContinental Hotels Group PLC (IHG) experienced a stock price decrease of 2.0% in London, with the current stock price at 9,704.00 pence.

Based on the available information, here's a breakdown of factors concerning IHG:

*   **Stock Decrease:** IHG's stock price is down 2.0% today.
*   **Director Buys ADRs:** Non-Executive Director Byron Grote purchased 500 American depositary receipts (ADRs) on Friday of last week, worth $63,575.
*   **FY24 Results:** InterContinental Hotels Group PLC reported a profit decrease in its fiscal year 2024, despite revenue increase. However, the board proposed a 10% dividend increase and announced a $900 million share buyback program. The company is targeting average compound growth in adjusted earnings per share of 12%-15% over the medium to long term.
*   **Acquisition:** IHG acquired the Ruby brand and related intellectual property for approximately $116 million.
*   **Overall Performance:** The 12-month change in the company's stock is up 12%.

It's important to note that pinpointing the exact cause of a daily stock fluctuation is difficult without deeper analysis. However, the combination of the FY24 results announcement and the general market conditions could be contributing factors.
",-9.284712482468443,-6.97986577181208,13.556719448774562
AAL,Anglo American plc,Basic Materials,$28.3B,"Anglo American is a global mining company focused on producing copper, iron ore, and crop nutrients, essential for a sustainable global economy.
",2391.5,-1.99,,-3.315140489185365,0.5677039529015979,40.077582194862686
PCT,Polar Capital Technology Ord,,$4.4B,"Polar Capital Technology Ord seeks to maximize capital growth by investing in a diverse, global portfolio of technology stocks.
",357.61,-1.76,,-5.017264276228416,0.31136044880785796,23.74048442906575
PSH,Pershing Square Holdings Ord,,$7.5B,"Pershing Square Holdings is an investment holding company that acquires and holds significant positions in a concentrated number of large capitalization companies, aiming to maximize long-term growth in intrinsic value per share.
",4375.88,-1.67,,-2.7149844375277876,5.836128471031004,13.743632668750156
STAN,Standard Chartered PLC,Financial Services,$25.9B,"Standard Chartered PLC is a British multinational bank providing corporate, commercial, institutional, consumer, and private banking services.
",1165.28,-1.5,,3.5804444444444425,9.313320825515945,89.55377813926223
FRES,Fresnillo plc,Basic Materials,$5.6B,"Fresnillo plc is a UK-based precious metals mining company, the world's largest primary silver producer and Mexico's second-largest gold miner.
",765.0,-1.48,,-2.48565965583174,13.924050632911392,65.95192809936121
NWG,NatWest Group plc,Financial Services,$34.9B,"NatWest Group is a UK-based banking and insurance holding company providing personal, private, commercial, and investment banking services.
",446.6,-1.15,,1.7312072892938548,5.779248481168666,103.86286589126689
SMT,Scottish Mortgage Ord,,$13.4B,"Scottish Mortgage is a global investment trust that aims to identify, own, and support exceptional growth companies, both public and private.
",1095.5,-1.13,,-3.224381625441696,9.059233449477352,37.03322419744505
ICG,Intermediate Capital Group plc,Financial Services,$6.9B,"Intermediate Capital Group (ICG) is a global alternative asset manager investing and managing capital across private debt, real assets, structured & private equity and credit for a global client base.
",2368.0,-1.09,,-3.188879803761243,4.778761061946903,30.884198861687377
RIO,Rio Tinto Group,Basic Materials,$78.9B,"Rio Tinto is a global mining and metals company that explores, produces, and processes various minerals like iron ore, copper, and aluminum, operating in 35 countries.
",5030.0,-1.02,,-1.0816125860373649,2.663537095622002,-1.537322795540054
DPLM,Diploma PLC,Industrials,$6.0B,"Diploma PLC is a value-add distributor of specialized technical products and services, operating through Controls, Seals, and Life Sciences sectors globally.
",4598.0,-0.82,,-3.4439311213775725,5.121170553269319,35.21881704298872
STJ,St. James's Place plc,Financial Services,$5.8B,"St. James's Place plc is a UK-based wealth management company providing financial planning advice to individuals, trustees, and businesses.
",1101.0,-0.81,,-2.824360105913504,18.259935553168635,82.10536676665974
BARC,Barclays PLC,Financial Services,$42.5B,"Barclays PLC is a global financial services company providing retail, corporate, and investment banking, wealth management, and credit card services.
",301.45,-0.77,,-0.9691175938352925,4.524967538036655,88.98632477406055
HSBA,HSBC Holdings plc,Financial Services,$147.4B,"HSBC Holdings plc is a global banking and financial services company offering retail, commercial, and investment banking, as well as wealth management.
",879.9,-0.67,,,,
WEIR,The Weir Group PLC,Industrials,$6.1B,"The Weir Group PLC is a UK-based engineering solutions provider focused on mining and infrastructure, manufacturing equipment and offering services.
",2290.0,-0.61,,-2.303754266211604,-3.7815126050420167,25.245170267571243
LGEN,Legal & General Group Plc,Financial Services,$13.8B,"Legal & General Group PLC is a multinational financial services and asset management company, offering investment management, retirement solutions, and insurance products.
",236.69,-0.59,,-2.113318026163965,0.8049390645985496,7.447563388608562
DGE,Diageo plc,Consumer Defensive,$50.5B,"Diageo plc is a British multinational alcoholic beverage company that produces, distributes, and markets a wide range of spirits and beers, including Scotch whisky.
",2177.8,-0.56,,1.222402974668844,-12.660918387808294,-25.03462379986528
SDR,Schroders plc,Financial Services,$5.6B,"Schroders plc is a global investment management company offering asset and wealth management services to individuals, family offices, and charities.
",382.0,-0.52,,-0.7276475784285128,12.485274774571167,4.008567715337675
ALW,Alliance Witan Ord,,$5.2B,"Alliance Witan is a UK investment trust that focuses on delivering long-term capital growth and a rising dividend through a diversified global equity portfolio.
",1297.49,-0.5,,-1.406534954407294,0.42492260061919573,11.425024194941622
MNG,M&G plc,Financial Services,$5.0B,"M&G plc is a UK-based savings and investment company that manages investments for individuals and institutions, offering a range of long-term savings, asset management, and retirement solutions.
",208.2,-0.48,,-2.1616555384348364,1.610544754424336,2.536712538646848
