,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
FRES,Fresnillo plc,Basic Materials,$5.6B,"Fresnillo plc is a UK-based precious metals mining company, the world's largest primary silver producer and Mexico's second-largest gold miner.
",871.5,-2.57,"On March 13, 2025, Fresnillo plc experienced a stock price change of -2.57 percent. Here's a breakdown of potential factors influencing this change:

**1. Analyst Downgrade:**

*   RBC Capital downgraded Fresnillo from ""Outperform"" to ""Sector Perform"" on March 13, 2025. However, they also raised the price target from GBX 810 to GBX 880.
*   RBC believes Fresnillo has outperformed its peers and sees limited upside potential compared to other silver companies they cover.

**2. Market Context:**

*   The European market generally had a good day, with the Stoxx Europe 600 index rising. However, some major stocks experienced setbacks, which could indicate a mixed market sentiment.

**3. Company Performance & Financials:**

*   Fresnillo's fiscal year 2024 results showed improved financial performance driven by strong precious metal prices and effective cost control measures.
*   Berenberg upgraded Fresnillo's stock rating earlier in March, emphasizing the company's operational stability and potential for shareholder returns through special dividends.
*   JPMorgan maintained an Overweight rating, highlighting a substantial dividend payout and Fresnillo's commitment to reducing production costs.

**4. Other potentially relevant information:**

*   Fresnillo is listed in the FTSE All-Share, FTSE 350 Low Yield, FTSE 350, and FTSE 100 indices and is a prominent British-based mining company specializing in precious metals exploration and production.
",3.9355992844364938,9.210526315789473,86.36506793110996
PSN,Persimmon Plc,Consumer Cyclical,$4.1B,"Persimmon Plc is a UK-based housebuilder that designs, constructs, and maintains residential buildings under the Persimmon Homes, Charles Church, and Westbury Partnerships brands.
",1163.5,-2.55,"Based on the information available, here's what might be happening with Persimmon Plc and some potential reasons for stock fluctuations:

**Reasons for Stock Change:**

*   **Build Cost Inflation:** Persimmon has warned of rising building costs heading into 2025. This can temper margin recovery and negatively impact the stock.
*   **Housing Completions:** A slight dip in housing completions in the third quarter of 2024 (compared to the previous year) may have contributed to share drops.
*   **Weak Fundamentals:** A general weakness in the company's fundamentals has been noted, including a decline in net income over the past few years.
*   **Potential Acquisition Concerns:** Reports of Persimmon considering buying Cala Group led to a stock price drop due to concerns about the price and potential risks of integration.

**Other Information About Persimmon Plc**

*   **Customer Care Focus:** Persimmon Homes Cornwall & West Devon appointed Lisa Morrish as Head of Customer Care.
*   **Full Year Results:** Persimmon Plc delivered increases in completions, outlets, and profit in FY24.
",0.3882657463330457,-7.216905901116427,-9.594064545722455
ENT,Entain Plc,Consumer Cyclical,$4.7B,"Entain PLC is a global sports betting and gaming company operating online and in retail, with brands like Ladbrokes and Coral.
",633.4,-2.4,"On March 13, 2025, Entain Plc's stock experienced a change of -2.4%. Here's a breakdown of factors that could be influencing the stock:

**Factors that could contribute to stock price changes:**

*   **Company-Specific News:**

    *   **CEO Departure:** The sudden departure of Entain's CEO in February 2025 after only six months in the role led to a 10% slump in shares, creating uncertainty about the company's future direction.
    *   **Strategic Review:** Following a strategic review, Entain is focusing on improving operational performance and disposing of non-core assets.
    *   **BetMGM Performance:** Entain's US joint venture, BetMGM, is expected to achieve profitability in 2025.
    *   **Cost Savings:** Entain is on track to deliver £70 million of net cost savings by 2025.
*   **Industry Trends:**
    *   **Regulatory Changes:** Potential regulatory changes in key markets like the UK and the Netherlands could impact profits.
    *   **""Customer-Friendly"" Sports Results:** Unfavorable sports results can negatively affect financial performance.
*   **Market Conditions:**
    *   **Devaluation of UK Equities:** A general devaluation of UK equities could negatively impact Entain's share price.
    *   **UK Interest Rates and Gaming Taxes:** Shifts in UK interest rates and uncertainty surrounding potential increases in gaming taxes can affect the stock price.

**Please note:** A stock change of -2.4% on March 11th is mentioned in the search results.
",-13.220440576435083,-9.137869564273315,-18.141122759694987
CCH,Coca-Cola HBC AG,Consumer Defensive,$10.5B,"Coca-Cola HBC AG is a bottling partner of The Coca-Cola Company that manufactures, markets, and distributes non-alcoholic beverages.
",3396.0,-2.3,"On March 13, 2025, Coca-Cola HBC AG's stock experienced a change of -2.3 percent. Here's a breakdown of factors that could be influencing the stock price:

*   **Director/PDMR Shareholding:** Recent announcements indicate transactions involving Persons Discharging Managerial Responsibilities (PDMRs) at Coca-Cola HBC. Specifically, Minas Agelidis (Regional Director) and Marcel Martin (Chief Corporate Affairs & Sustainability Officer) reported sales of ordinary shares on March 3 and 4, 2025.
*   **Transfer of treasury shares:** On March 4, 2025, Coca-Cola HBC AG transferred 200,000 ordinary shares from its treasury to facilitate the exercise of options granted under its share option plan.
*   **Overall Performance:** In February 2025, the company reported strong organic revenue growth and increased its dividend.
*   **Analyst Consensus:** The analyst consensus target price for shares in Coca-Cola HBC AG is 3,279.10p, which is below the last closing price. However, the overall consensus recommendation for Coca-Cola HBC AG is ""Buy"".
*   **Market factors:** The company itself expects macroeconomic and geopolitical conditions to remain challenging in 2025.

",1.0113027959547887,6.4576802507836994,36.98207467040881
MRO,Melrose Industries PLC,Industrials,$8.0B,"Melrose Industries PLC is a UK-based aerospace company providing advanced components and systems to major original equipment manufacturers in civil and defense markets.
",506.42,-2.23,"On March 13, 2025, Melrose Industries PLC experienced a stock change of -2.23 percent. Here's a breakdown of factors that may have influenced the stock price:

*   **FY2024 Earnings Data:** Melrose released its FY2024 earnings data the previous week. While this led to a spike in trading volume, there was significant selling pressure.
*   **Missed Expectations:** The company's statutory pre-tax loss was £106m, and revenue of £3.47bn was 2.48% below expectations. This led to lowered revenue estimates for the mid-term, triggering a sell-off.
*   **Analyst Views:** While Melrose issued strong long-term targets, its 2025 outlook was perceived as a ""niggle"" by analysts. The company held its guidance, which some analysts felt might cause minor disappointment.
*   **Share Buyback:** Melrose Industries announced the repurchase of 410,410 of its ordinary shares through J.P. Morgan Securities as part of a broader buyback program to manage its capital structure and potentially enhance shareholder value.
*   **Broader Market Factors**: Rising yields and tariff uncertainty are pressuring the UK's FTSE 100, which could be contributing to the stock's movement.

",-8.982750219447922,-19.411206186346032,-17.727904282912117
MNDI,Mondi plc,Basic Materials,$5.6B,"Mondi plc is a global packaging and paper company that manufactures and sells pulp, paper, and flexible plastic packaging products, with a focus on sustainability.
",1226.0,-2.04,"As of today, March 13, 2025, I do not have enough specific information to pinpoint the exact cause of the -2.04% change in Mondi plc's stock price. However, I can provide some context and recent news that might be relevant:

**Recent News and Events Concerning Mondi plc:**

*   **Eurobond Launch:** On March 11, 2025, Mondi launched a €600 million Eurobond with an 8-year maturity. The proceeds are intended for general corporate purposes.
*   **2024 Annual Report:** Mondi released its 2024 annual report and details for its Annual General Meeting (AGM) on March 4, 2025.
*   **Acquisition:** Mondi is on track to acquire packaging assets from Schumacher Packaging GmbH. This deal is expected to be completed in the first half of 2025.
*   **Analyst Ratings:** There have been some recent updates to investment bank analyst ratings for Mondi plc. S&P Global Ratings revised Mondi PLC's outlook to negative, while affirming its 'A-' rating.
*   **Full Year Results:** In February 2025, Mondi reported a slight increase in revenue for 2024 but a decrease in pretax profit. They also noted ""improving order books"" in their packaging business for 2025 and are implementing price increases.

**Factors That Could Influence Stock Price:**

*   **Overall Market Conditions:** Broad market trends and economic news can impact stock prices.
*   **Company-Specific News:** Events like the Eurobond launch, earnings reports, and acquisitions can influence investor sentiment.
*   **Analyst Ratings:** Changes in analyst ratings can affect how investors view a stock.
*   **Geopolitical Uncertainties:** Mondi noted that ""significant macroeconomic and geopolitical uncertainties remain"" which could impact its business and stock price.

To understand the specific reason for today's stock price change, you would need to consult real-time financial news sources that provide intraday analysis and commentary.
",-5.364724044770359,-6.768060836501902,-3.6526712196829054
BTRW,Barratt Redrow plc,Consumer Cyclical,$6.6B,"Barratt Redrow plc, formerly Barratt Developments PLC, is a UK-based housebuilder and commercial developer, acquiring land, obtaining planning consents, and constructing homes.
",422.1,-1.97,,1.5640023582832698,-8.49772140262047,-10.8440471006113
TW,Taylor Wimpey plc,Consumer Cyclical,$4.3B,"Taylor Wimpey plc is a UK-based residential developer involved in land acquisition, planning, and construction of various homes, also operating in Spain.
",110.44,-1.83,,0.21778861924155302,-6.406779661016951,-20.922423233424517
WTB,Whitbread plc,Consumer Cyclical,$4.8B,"Whitbread PLC is a British multinational hospitality company that manages hotels and restaurants, with brands like Premier Inn, Brewers Fayre and Beefeater.
",2492.1,-1.73,,-1.536941920189652,-6.452702702702706,-22.39683007897434
ITRK,Intertek Group plc,Industrials,$8.2B,"Intertek Group plc is a UK-based company providing quality assurance, testing, inspection, and certification (ATIC) solutions.
",4908.0,-1.72,,-5.796545105566219,-7.5706214689265545,1.3058840674887173
