,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
IAG,International Consolidated Airlines Group S.A.,Industrials,$17.0B,"International Consolidated Airlines Group (IAG) is an airline company holding interests in passenger and freight air transportation services through its subsidiaries like British Airways, Iberia, Vueling, and Aer Lingus.
",290.8,-6.34,"On March 11, 2025, International Consolidated Airlines Group S.A. experienced a significant change in its stock price, dropping -6.34%.

To determine the specific reasons for this change, here are some potential factors:

*   **General Market Conditions:** Overall market trends or economic news could be impacting the stock.
*   **Company-Specific News:** Keep an eye out for any specific news releases or reports concerning International Consolidated Airlines Group S.A. on March 11, 2025.
*   **Analyst Ratings:** Changes in analyst ratings can influence stock prices.
*   **Major Transactions:** Significant sales or purchases of shares by company insiders or major investors could affect the stock price.

Unfortunately, without specific news or data for March 11, 2025, it's challenging to pinpoint the exact cause of the stock price change. You can stay up-to-date with the latest information regarding International Consolidated Airlines Group S.A. through financial news outlets.
",-8.897246591773673,-16.316546762589926,
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,$16.8B,"InterContinental Hotels Group PLC (IHG) owns, manages, franchises, and leases hotels and resorts across various brands and segments globally.
",8748.0,-3.87,"Based on the available information, here's what might be happening with InterContinental Hotels Group PLC (IHG) as of March 11, 2025:

**Possible Factors Influencing Stock Price:**

*   **CEO Share Acquisition:** IHG's CEO, Elie Maalouf, acquired 825 American Depositary Receipts (ADRs) of the company at $120.85 each on March 7, 2025. This could signal confidence in the company's future, but it's not clear if this would directly cause a dramatic single-day stock change.
*   **Broader Market Factors:** Without specific news directly explaining the -3.87% change, it could be due to broader market trends, sector-specific issues affecting the hotel industry, or reactions to competitor performance.
*   **Technical Sentiment:** One report mentions a ""Sell"" technical sentiment consensus rating for IHG stock. This suggests that technical analysis of the stock's price movements might be indicating a potential downturn.

**Other potentially relevant news:**

*   **Net Zero Carbon Hotel:** IHG opened its first branded net zero carbon hotel in partnership with Zeal Hotels. While this is a positive development, it's unlikely to cause a significant drop in stock price.

It's important to note that a single day's stock price movement can be influenced by many factors, and without more specific information, it's difficult to pinpoint the exact cause of the -3.87% change.
",-9.422240629529924,-17.974683544303797,6.466033730350684
ITRK,Intertek Group plc,Industrials,$8.2B,"Intertek Group plc is a UK-based company providing quality assurance, testing, inspection, and certification (ATIC) solutions.
",4986.0,-3.56,"On March 11, 2025, Intertek Group plc's stock experienced a change of -3.56 percent. While I don't have specific details on *why* the stock price changed so dramatically on this particular day, here's some information that might help explain potential reasons:

*   **Overall Market Trends:** Keep in mind general market trends. One article mentions ""European stocks red on heightened trade war fears"" on March 4, 2025. Broader economic anxieties can definitely impact individual stock performance.
*   **Company News:** Check for specific news releases from Intertek Group plc around that date. For example, the search results mention ""Intertek raises margin outlook as reaps benefit from high growth M&A"" (March 4, 2025), as well as their Full Year 2024 earnings release on the same day.
*   **Analyst Ratings:** Changes in analyst ratings can influence stock prices. While one article notes a consensus rating of ""Moderate Buy"" (MarketBeat), it's important to see if there were any *recent* downgrades or negative reports that coincided with the stock drop.
*   **52-Week High:** Note that on Monday, Intertek Group PLC (ITRK:LSE) closed -7.26% below its 52-week high of 5,575.00, set on Mar 04, 2025.

",-7.4094707520891365,-5.209125475285171,-0.5720985896608626
DPLM,Diploma PLC,Industrials,$6.0B,"Diploma PLC is a value-add distributor of specialized technical products and services, operating through Controls, Seals, and Life Sciences sectors globally.
",4038.41,-3.43,"As of March 11, 2025, I do not have specific real-time information to explain the 3.43% change in Diploma PLC's stock price. However, I can provide some general factors that might influence stock prices, along with recent news and data about Diploma PLC.

**General Factors That Can Affect Stock Prices:**

*   **Company-Specific News:** Earnings reports, new product launches, significant contracts, or changes in management can all affect how investors view a company.
*   **Industry Trends:** Changes in the industry in which a company operates, such as new regulations, technological advancements, or shifts in consumer demand, can impact stock prices.
*   **Economic Conditions:** Overall economic growth, inflation, interest rates, and unemployment rates can influence investor sentiment and market valuations.
*   **Market Sentiment:** General optimism or pessimism in the stock market can lead to broad buying or selling pressure, affecting individual stock prices.
*   **Global Events:** Major global events such as political instability, trade wars, or pandemics can create uncertainty and volatility in the stock market.

**Recent News and Data About Diploma PLC:**

*   **Stock Price History:** On March 7, 2025, the stock price closed at 4,278.00p, down 1.34%.
*   **Director's External Appointment:** On March 3, 2025, it was announced that Ian El-Mokadem, a Non-Executive Director, would be joining the Board of United Utilities Group PLC as a Non-Executive Director, effective June 1, 2025.
*   **Full Year Results:** Diploma PLC is a value-add distribution company that supplies specialized technical products and services.

To determine the exact reason for the stock price change, it's best to consult financial news sources for specific reports from March 11, 2025, that may provide more insights.
",-8.21795454545455,-12.436903729401564,18.79320215565788
RTO,Rentokil Initial plc,Industrials,$9.9B,"Rentokil Initial plc provides pest control and commercial hygiene services globally.
",327.3,-3.39,"On March 11, 2025, Rentokil Initial plc experienced a significant stock price change of -3.39 percent. Here's a breakdown of factors that may have contributed to this movement:

**1. Recent Financial Performance and Guidance:**

*   **2024 Results:** Rentokil Initial's shares dropped following an 8.1% decline in adjusted pre-tax profit for 2024. While the company reported revenue growth of 1.1% to £5.44 billion, North America lagged behind with only 1.5% organic revenue growth, despite accounting for approximately 60% of total revenue.
*   **Operating Margin Decline:** The adjusted operating margin fell from 16.7% to 15.3%, primarily due to declining margins in North America.
*   **Q1 2025 Concerns:** Disappointing revenue guidance for the first quarter of 2025 in North America is a key factor. The company anticipates North American Pest Control Services revenue to remain similar to the 1.0% growth seen in Q1 2024.
*   **CEO Explanation:** CEO Andy Ransom attributed the weakness to challenges in integrating Terminix, a recent acquisition, though the integration remains on track for completion by 2026.

**2. Analyst Downgrades and Price Target Reductions:**

*   **Deutsche Bank:** Deutsche Bank's analysts revised Rentokil Initial Plc's stock price target downwards to GBP4.65 from GBP4.85, though they maintained a ""Buy"" rating.
*   **JPMorgan Chase & Co.:** JPMorgan Chase & Co. dropped their price objective on Rentokil Initial from GBX 440 to GBX 430 and set a ""neutral"" rating.

**3. North American Market Challenges:**

*   **Terminix Integration:** Difficulties in completing the merger with Terminix have impacted the North American business performance.
*   **Lower Lead Generation:** Management indicated that lower-than-anticipated lead generation, operational challenges (fewer working days, a polar vortex), and California wildfires are likely to constrain revenue in North America.

**4. Market Sentiment:**

*   **Oversold Conditions:** InvestingPro data indicated that the stock's Relative Strength Index (RSI) suggests oversold conditions, with shares trading near their 52-week low.

In summary, the stock price decline appears to be driven by a combination of factors, primarily related to weaker performance and outlook in the North American market, challenges with the Terminix integration, and subsequent analyst revisions.
",-15.009089895464417,-18.52128701671196,-31.74233998683721
SPX,Spirax Group plc,Industrials,$5.7B,"Spirax Group PLC provides thermal energy management and fluid technology solutions through steam thermal, electric thermal, and fluid technology solutions.
",6795.0,-3.27,"On March 11, 2025, Spirax-Sarco Engineering Plc (LON:SPX) shares experienced a drop of over 3%. Several factors contributed to this change:

*   **FX Headwinds:** Morgan Stanley and RBC Capital Markets revised Spirax's 2025 EBITA forecast downward due to foreign exchange headwinds, specifically the strengthening of the British pound.
*   **Analyst Ratings:** RBC Capital Markets maintained an ""underperform"" rating for the stock. Morgan Stanley revised its price target down from 8,500 pence per share to 8,100 pence.
*   **2024 Results:** While Spirax Group's pretax profit improved by 5.9% in 2024, revenue was broadly flat. Steam Thermal Solutions (STS) division reported only 1% organic revenue growth, with a decline in China.

In summary, the combination of revised earnings forecasts due to currency exchange issues and concerns expressed by analysts appears to have driven the stock price decrease.
",-4.430379746835443,-12.491951062459755,-36.51258843814278
GSK,GSK plc,Healthcare,$61.4B,"GSK plc is a global biopharma company researching, developing, and manufacturing pharmaceutical medicines, vaccines, and consumer healthcare products.
",1508.0,-3.24,"While I can't pinpoint the exact cause of the -3.24% change in GSK plc's stock price today, March 11, 2025, here's a breakdown of factors that could be playing a role:

**Positive News & Potential Offsetting Factors:**

*   **ViiV Healthcare at CROI 2025:** GSK announced that ViiV Healthcare, its majority-owned global HIV specialist company, is presenting data on its HIV treatment and prevention portfolio at the Conference on Retroviruses and Opportunistic Infections (CROI 2025). This includes data on long-acting injectable HIV treatments and insights into their research pipeline.
*   **Analyst Ratings:** As of today, GSK has an average rating of ""Moderate Buy"" with an average target price of $43.25.
*   **Increased Dividend:** GSK recently announced an increased quarterly dividend of $0.3932 per share, representing an annualized dividend of $1.57 and a yield of 3.89%.
*   **Share Buyback Program:** GSK has an existing share buyback program and recently purchased shares as part of this program.
*   **Full Year Results:** GSK's full-year sales were up 7% and they launched a £2bn share buyback program.

**Class Action Lawsuit:**

*   A class action lawsuit has been filed against GSK plc, alleging false and/or misleading statements regarding Zantac. The lawsuit aims to recover damages for investors who purchased GSK American Depositary Receipts (ADRs) between February 5, 2020, and August 14, 2022.

**To get a clearer picture of today's stock movement, I'd recommend checking these sources for more specific information:**

*   **Financial News Outlets:** Look for real-time news articles that might explain the day's market activity.
*   **GSK's Investor Relations Website:** Check for any press releases or announcements issued by the company today.
",-0.06626905235255136,4.479933585005746,-11.007523582919516
STAN,Standard Chartered PLC,Financial Services,$25.9B,"Standard Chartered PLC is a British multinational bank providing corporate, commercial, institutional, consumer, and private banking services.
",1133.5,-3.16,"A significant change in a company's stock price like the -3.16% drop you observed for Standard Chartered PLC on March 11, 2025, can be caused by a number of factors. Here's an overview of what might be going on with the company:

**Factors that could be affecting Standard Chartered PLC's stock price:**

*   **Company Announcements:**

    *   **Share Buyback:** On March 11, 2025, Standard Chartered announced it was buying back over 1 million shares. It's also worth noting that on Feb 21, 2025, they announced a share buyback of up to $1.5 billion.
*   **Market conditions:**
    *   **Broader Market Trends:** Overall market sentiment and economic news can impact all stocks, including Standard Chartered PLC.
    *   **China Exposure:** Standard Chartered has a significant presence and focus on the Asian market, particularly China. Economic developments or policy changes in China can significantly influence investor sentiment towards the stock.
*   **Company Performance and Expectations:**
    *   **Earnings Reports:** Investors react to a company's financial results. For example, on February 21, 2025, the company launched a USD 1.5 billion share buyback on annual profit growth that fell short of market expectations. Pretax profit was USD 6.01 billion for 2024, growing 18% on-year from USD 5.09 billion but falling short of the USD 6.20 billion company-compiled consensus.
    *   **Future Outlook:** The bank's own expectations for future growth influence its stock price. For 2025, Standard Chartered expects operating income to grow 5% to 7% at a compound annual growth rate between 2023 and 2026, with its 2025 growth expected to be below this forecast range at constant currency.
*   **Analyst Ratings:**
    *   Changes in analyst ratings or price targets can also affect the stock price. As of March 5, 2025, an analyst from Citi maintained a 'neutral' rating on Standard Chartered with a price target of £12.50.
    *   Overall, the consensus rating from analysts is ""Moderate Buy"".
*   **Other News:**
    *   Standard Chartered launched a Private Markets Co-Investment Club for ultra-high-net-worth clients on March 11, 2025.
    *   Standard Chartered global research experts are decoding the world economic outlook for H1 and mapping Sri Lanka's future.
*   **Technical Factors:**
    *   **Trading Activity:** High trading volume can sometimes amplify price movements.
    *   **Price History:** On Monday, March 10, 2025, Standard Chartered PLC closed -8.63% below its 52-week high of 1,281.00, set on Mar 03, 2025.

It is important to consider a combination of these factors to understand the recent change in Standard Chartered PLC's stock price.
",-8.699154248892468,0.7555555555555555,73.55242875092343
DGE,Diageo plc,Consumer Defensive,$50.5B,"Diageo plc is a British multinational alcoholic beverage company that produces, distributes, and markets a wide range of spirits and beers, including Scotch whisky.
",2116.0,-3.07,"On March 11, 2025, Diageo plc's stock experienced a change of -3.07%. Here's a breakdown of factors that could be influencing the stock:

**Factors potentially contributing to the stock change:**

*   **Analyst Ratings:** Recent analyst activity is mixed.
    *   UBS Group upgraded Diageo to a ""buy"" rating, increasing their target price.
    *   Jefferies Financial Group also upgraded Diageo to a ""buy"" rating.
    *   However, one analyst has a ""sell"" rating, and two have a ""hold"" rating.
    *   Deutsche Bank upgraded Diageo to 'hold' from 'sell'.
*   **Insider Trading:** Nik Jhangiani, an insider, has been actively trading Diageo stock.
    *   He bought 7 shares on March 10th.
    *   However, earlier in March, he sold a significant number of shares (65,676).
*   **Tariffs:** Potential tariffs on imports from Mexico and Canada could negatively impact Diageo's tequila and Canadian whiskey brands.
*   **Consumer Trends:** Younger consumers are prioritizing wellness over spirits, impacting sales.
*   **Market Conditions:** The global economic downturn and cost-of-living crisis are affecting consumer behavior.
*   **Company Performance:**
    *   Diageo withdrew its medium-term guidance.
    *   First-half sales were down slightly, and operating profit also declined.
*   **US Surgeon General Warning:** US calls for cancer warning labels on alcoholic beverages.

",-1.2599160055996266,-2.4928454249532948,-27.221709909464792
CRDA,Croda International Plc,Basic Materials,$4.4B,"Croda International Plc is a specialty chemicals company that creates and sells high-performance ingredients and technologies for various sectors, including consumer care, life sciences, and industrial specialties.
",3076.0,-3.03,"On March 11, 2025, Croda International Plc announced that Ian Bull, a Non-Executive Director, will become Chair of Domino's Pizza Group Plc effective April 24, 2025. He is currently a Non-Executive Director and Audit Committee Chair of Dunelm Group plc.

I do not have enough information to determine the cause of the -3.03% stock price change. Further information is needed regarding Croda's financial performance, market trends, and specific company announcements on March 11, 2025, to provide a complete explanation for the stock price movement.
",-4.797276385020117,0.8524590163934427,-34.27140581703434
