,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
HAS,Hays plc,Industrials,$1.2B,"Hays plc is a global recruitment company placing candidates in permanent, temporary, and contractual roles across various sectors.
",74.0,-2.63,"Based on the information available, here's what might be happening with Hays plc:

*   **Profit warnings:** Hays has issued profit warnings due to challenging market conditions. In January 2025, they reported a significant drop in net fees for the second quarter of their financial year, citing subdued client and candidate confidence in global hiring markets.
*   **Decline in fees:** The company has experienced a decline in both permanent and temporary recruitment fees.
*   **Challenging markets:** Hays has cited ""challenging market conditions"" leading to a drop in fees.
*   **Cost-cutting measures:** Hays has been implementing cost-cutting measures, including reducing consultant headcount.
*   **Global slowdown:** There's a ""clear slowdown"" in challenging markets.
*   **H1 profit decline:** Hays expects earnings to be sequentially lower in the first half of the year.

It's important to note that without specific news or reports directly addressing the events of February 10, 2025, it's difficult to pinpoint the exact cause of the stock change on that particular day. However, the general negative trends the company has been experiencing could very well be a contributing factor.
",-1.7264316056723787,3.568933744818792,-20.722252337139146
PAGE,PageGroup plc,Industrials,$1.1B,"PageGroup plc is a UK-based recruitment consultancy offering services and career opportunities through brands like Michael Page and Page Executive.
",318.4,-2.33,"Based on the information available, here's what might be happening with PageGroup plc's stock:

*   **Stock Price Fluctuations:** On February 8, 2025, PageGroup's stock price crossed below its 50-day moving average.
*   **52-Week High:** On February 8, 2025, PageGroup plc's stock price reached a new 52-week high during mid-day trading on Tuesday. The company traded as high as $4.09 and last traded at $4.09, with a volume of 1379 shares traded. The stock had previously closed at $4.00.
*   **Analyst Downgrade:** BNP Paribas downgraded PageGroup from a ""strong-buy"" rating to a ""hold"" rating in a research report on Monday, December 16th.

To get a clearer picture of the reasons behind today's stock change of -2.33%, you'll need to follow these steps:

1.  **Look for Specific News:** Search for news articles specifically published today (February 10, 2025) that mention PageGroup plc and its stock performance.
2.  **Company Announcements:** Check PageGroup's official website or investor relations page for any press releases or announcements made today that could be impacting the stock price.
3.  **Market Analysis:** Consult financial news sources for broader market trends or industry-specific news that might be affecting PageGroup, as well as its competitors.
",-1.9704396654867482,5.570289640749619,-26.47638422152816
GDWN,Goodwin PLC,Industrials,$549.7M,"Goodwin PLC is a mechanical and refractory engineering company specializing in design, manufacture, and supply of related products and solutions.
",7160.0,-1.65,,-1.6483516483516485,-4.533333333333333,31.01718065495903
SAFE,Safestore Holdings Plc,Real Estate,$1.3B,"Safestore Holdings PLC is the UK's largest self-storage company, providing storage solutions for personal and business customers in the UK, Paris, and other European locations, and also sells insurance and merchandise.
",594.45,-1.17,,-3.105134474327621,-7.262090483619338,-23.692045981888953
IPO,IP Group Plc,Financial Services,$511.4M,"IP Group PLC is a UK-based investor that develops and supports early-stage science and technology businesses, particularly in deep tech, life sciences, and clean technology.
",50.3,-0.98,,-3.082854487164321,-1.1787848878036917,0.39920465463130345
JII,JPMorgan Indian Ord,,$685.5M,"JPMorgan Indian Investment Trust plc aims to achieve capital growth by investing in a diversified portfolio of quoted Indian companies, seeking to outperform the MSCI India Index.
",1006.47,-0.94,,-0.7426035502958553,0.24601593625498278,9.876637554585157
BGFD,Baillie Gifford Japan Ord,,$635.7M,"Baillie Gifford Japan Ord aims for long-term capital growth by investing in medium to smaller-sized Japanese companies.
",768.8,-0.93,,0.6282722513088945,8.895184135977331,5.518654054486943
ASHM,Ashmore Group Plc,Financial Services,$1.1B,"Ashmore Group PLC is a UK-based investment manager specializing in emerging markets, managing assets across various investment themes.
",166.7,-0.89,,-1.4775395941685159,12.711296064470288,-15.44942858900782
BRBY,Burberry Group plc,Consumer Cyclical,$4.4B,"Burberry Group plc is a UK-based global luxury goods company that manufactures, retails, wholesales, and licenses apparel and accessories under the Burberry brand.
",1198.35,-0.63,,0.6171284634760629,23.796487603305778,-3.388021723929742
POLN,Pollen Street Group Limited,Financial Services,$478.7M,"Pollen Street Group is a listed alternative asset manager focused on investments in the financial and business services sectors.
",766.0,-0.52,,-3.0379746835443036,0.7894736842105263,50.750307503075035
WWH,Worldwide Healthcare Ord,,$1.7B,"Worldwide Healthcare Ord is an investment trust focused on achieving capital growth by investing in the global healthcare sector, including pharmaceutical and biotechnology companies.
",340.46,-0.45,,-0.011747430249638903,5.405572755417951,7.255031914933498
CCL,Carnival Corporation & plc,Consumer Cyclical,$25.8B,"Carnival Corporation & plc is a global cruise and vacation company with a portfolio of cruise lines, offering cruises to various destinations.
",1950.5,-0.43,,-1.340414769853313,10.635280771412365,79.02707664066085
MYI,Murray International Ord,,$1.6B,"Murray International Trust PLC is a UK investment trust aiming for above-average dividend yield and long-term growth by investing in global equities and fixed income securities.
",269.0,-0.37,,0.9380863039399625,5.283757338551859,17.43846785467759
RWI,Renewi plc,Industrials,$639.7M,"Renewi plc is a waste-to-product company focused on extracting value from waste and used materials through recycling and treatment services, primarily in the Benelux region.
",803.0,-0.37,,0.24968789013732834,0.0,47.35261828382473
MWY,Mid Wynd International Inv Tr Ord,,$370.2M,"Mid Wynd International Investment Trust aims for capital and income growth by investing globally in high-quality companies.
",821.14,-0.35,,0.3838630806845949,2.259028642590285,9.011919265974164
BNKR,Bankers Ord,,$1.4B,"Bankers Investment Trust aims for capital growth exceeding the FTSE World Index and dividend growth greater than UK CPI by investing in global companies.
",125.4,-0.32,,1.2924046113094785,8.694405016159577,22.015972569838336
TATE,Tate & Lyle plc,Consumer Defensive,$2.9B,"Tate & Lyle is a global provider of specialty food and beverage solutions, offering ingredients like sweeteners, texturants, and fiber enrichments.
",647.0,-0.31,,-1.2213740458015268,2.6984126984126986,8.810038020315822
FGP,FirstGroup plc,Industrials,$966.4M,"FirstGroup plc is a British transport group operating bus and rail services in the UK and Republic of Ireland.
",162.0,-0.31,,-0.5524824617588878,3.4482718301523407,6.110436756749193
FEML,Fidelity Emerging Markets Ord,,$492.0M,"Fidelity Emerging Markets Ord aims for long-term growth by investing primarily in emerging market companies.
",722.47,-0.29,,1.9142298093660974,4.888213240960655,19.644451973565914
CGT,Capital Gearing Ord,,$912.8M,"Capital Gearing Trust is a UK investment trust aiming to preserve and grow shareholders' wealth through diverse asset allocations, including bonds, equities, and gold.
",4850.96,-0.29,,0.1230134158926736,1.6972746331236905,8.987591467809454
TBCG,TBC Bank Group PLC,Financial Services,$1.9B,"TBC Bank Group PLC is a UK-based parent company of JSC TBC Bank, a leading universal banking group in Georgia, and also provides digital financial services in Uzbekistan.
",3530.0,-0.28,,4.903417533432393,18.65546218487395,47.17753510038774
