,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
IAG,International Consolidated Airlines Group S.A.,Industrials,$17.0B,"International Consolidated Airlines Group (IAG) is an airline company holding interests in passenger and freight air transportation services through its subsidiaries like British Airways, Iberia, Vueling, and Aer Lingus.
",295.2,-4.93,"On March 11, 2025, International Consolidated Airlines Group S.A. (IAG) experienced a stock price change. Unfortunately, the exact percentage change you cited (-4.93%) is not directly confirmed in the search results. However, here's a summary of what the search results indicate about IAG's stock and related news:

**Stock Performance & Analysis:**

*   **Mixed Signals:** Some analysts have recently increased their price targets for IAG and given the stock a ""buy"" or ""overweight"" rating.
*   **Moving Averages:** On March 10, 2025, IAG's share price passed above its 200-day moving average.
*   **52-Week High:** As of March 10, 2025, the stock was trading -15.72% below its 52-week high of 368.40, which was set on February 7, 2025.
*   **Share Repurchase:** International Consolidated Airlines Group announced the repurchase of 2,429,483 of its own shares on March 10, 2025, as part of a previously announced share repurchase program.

**Possible Reasons for Stock Price Fluctuations:**

*   **General Market Trends:** Overall market conditions can influence individual stock prices.
*   **Company-Specific News:** Factors like earnings reports, strategic decisions (such as share repurchases), and analyst ratings can all affect investor sentiment and stock value.
*   **Air Transportation Industry Dynamics:** The performance of airline stocks is often tied to factors such as passenger demand, fuel costs, and economic conditions.

",-7.518800529200793,-15.050359712230218,
SPX,Spirax Group plc,Industrials,$5.7B,"Spirax Group PLC provides thermal energy management and fluid technology solutions through steam thermal, electric thermal, and fluid technology solutions.
",6720.0,-4.34,"On March 11, 2025, Spirax Group plc experienced a stock change of -4.34 percent. Here's a breakdown of potential factors influencing this change:

**1. 2024 Full-Year Results:**

*   **Organic Revenue Growth:** Spirax Group reported a 4% organic revenue growth in 2024, despite ""challenging global industrial production conditions.""
*   **Profitability:** The company achieved a 7% increase in statutory operating profit and improved profit margins through operational improvements and strategic investments.
*   **Restructuring:** Spirax Group's restructuring is expected to provide significant benefits for future growth.
*   **Dividend Increase:** The company increased its final dividend by 3.1% to 117.7 pence per share.

**2. 2025 Outlook:**

*   **Continued Growth:** Spirax expects organic growth in 2025, consistent with 2024, alongside further margin improvements.
*   **Restructuring Benefits:** Restructuring efforts are projected to result in annualized benefits of £35 million for investment in organic growth.
*   **Confidence:** Despite market weaknesses, Spirax's chief executive remains confident in the company's strategy and business model.

**3. Potential Concerns & Market Reactions:**

*   **FX Headwinds:** Some analysts have revised downward their 2025 EBITA forecasts for Spirax due to foreign exchange (FX) headwinds, primarily the strengthening of the British pound.
*   **Division Performance:** While Electric Thermal Solutions (ETS) showed strong results, Steam Thermal Solutions (STS) growth was slightly below expectations with challenges in China and Korea. Watson-Marlow also underperformed sales growth estimates.
*   **Profit Fall:** Spirax Group reported a fall in profits following a restructure.

In summary, while Spirax Group has demonstrated positive organic revenue growth and profitability improvements, concerns about foreign exchange impacts, specific division performance, and a fall in profit due to restructure may be contributing to the stock price decrease.
",-5.485232067510549,-13.457823567289118,-37.213332495116916
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,$16.8B,"InterContinental Hotels Group PLC (IHG) owns, manages, franchises, and leases hotels and resorts across various brands and segments globally.
",8784.0,-3.47,"A decrease of 3.47% in the stock price of InterContinental Hotels Group PLC (IHG) on March 11, 2025, could be attributed to several factors.

Based on the available information:

*   **Share Buyback:** On March 11, 2025, InterContinental Hotels Group PLC announced the repurchase of 13,608 of its ordinary shares on the London Stock Exchange. This is part of a buyback program authorized by shareholders and aims to manage capital structure and potentially enhance shareholder value by reducing the number of shares in circulation. While share buybacks are often seen as a positive sign, the market might react in various ways depending on the specifics and overall investor sentiment.
*   **Technical Sentiment:** The technical sentiment for IHG stock is currently rated as ""Sell"".
*   **Analyst Ratings:** Keep an eye out for any recent Investment Bank Analyst Rating updates that may have impacted investor sentiment.
*   **Full Year Results:** Shares in Intercontinental Hotels drifted after full-year results, with revenue beating estimates, but operating profit and EPS just about meeting expectations and no suggestion of an upgrade to guidance on February 18, 2025.
*   **Market Trends:** The stock price fell by -0.132% on the last day (Monday, 10th Mar 2025) from 9,112.00p to 9,100.00p. It has now fallen 5 days in a row.

",-9.049492648581486,-17.637130801687764,6.904165556401509
ITRK,Intertek Group plc,Industrials,$8.2B,"Intertek Group plc is a UK-based company providing quality assurance, testing, inspection, and certification (ATIC) solutions.
",5030.0,-2.71,"On March 11, 2025, Intertek Group plc's stock experienced a change of -2.71%. While I don't have specific real-time news explaining this precise daily fluctuation, I can provide some recent context that might be relevant:

*   **Positive Performance Earlier in March:** On March 4, 2025, Intertek Group's shares actually rose significantly (e.g., 6.3%) after the company launched a new share buyback program and increased its operating margin guidance.
*   **Analyst Forecasts**: Analysts are generally forecasting positive revenue and earnings per share growth for Intertek Group in 2025.
*   **Recent News:** Recent news from Intertek includes their full year results announcement on March 4, 2025, and several announcements throughout February regarding projects and expansions.

It's important to note that daily stock price changes can be influenced by a wide range of factors, including overall market sentiment, sector trends, company-specific news, and investor reactions to those factors. The -2.71% change you observed could be a correction following the earlier gains, a response to some more recent, unpublicized news, or simply part of the normal volatility of the stock market.
",-6.592386258124419,-4.3726235741444865,0.30533349198185566
STJ,St. James's Place plc,Financial Services,$5.8B,"St. James's Place plc is a UK-based wealth management company providing financial planning advice to individuals, trustees, and businesses.
",988.0,-2.18,"On March 11, 2025, St. James's Place plc experienced a stock price change. Here's a breakdown of what may have influenced it:

**Share Repurchase:**

*   St. James's Place announced a share repurchase program, buying back 184,000 of its ordinary shares at an average price of 1,020.9391 pence per share on the London Stock Exchange.
*   The company intends to cancel these shares, reducing the total number of shares in issue to 542,827,012. This is part of their strategy to manage capital structure and potentially increase shareholder value.

**Director Share Activity**

*   On March 6, 2025, Partnership Director Peter Edwards, along with Janine Edwards, sold 415,000 shares at GBP10.98, totaling GBP4.6 million.
*   On the same day, Non-Executive Director Rooney Anand purchased 10,509 shares at GBP10.32, amounting to GBP108,453.

**Other potentially relevant factors:**

*   **Analyst Ratings:** St. James's Place has a consensus rating of ""Outperform"" from analysts.
*   **Buyback Plan:** St. James's Place authorized a buyback plan.

It's important to note that a combination of these factors, along with overall market conditions, can influence stock price movements.
",-5.454545454545454,-11.548791405550581,126.50988649662536
DPLM,Diploma PLC,Industrials,$6.0B,"Diploma PLC is a value-add distributor of specialized technical products and services, operating through Controls, Seals, and Life Sciences sectors globally.
",4102.0,-1.91,,-6.772727272727273,-11.058109280138769,20.66375510225773
LLOY,Lloyds Banking Group plc,Financial Services,$37.6B,"Lloyds Banking Group is a UK-based financial services group providing retail, commercial banking, insurance, and wealth management services.
",67.86,-1.91,,-4.984595715788275,8.05732615352225,37.84506585944277
CRDA,Croda International Plc,Basic Materials,$4.4B,"Croda International Plc is a specialty chemicals company that creates and sells high-performance ingredients and technologies for various sectors, including consumer care, life sciences, and industrial specialties.
",3117.0,-1.73,,-3.5283194057567315,2.1967213114754096,-33.3953094706424
SGE,The Sage Group plc,Technology,$13.2B,"The Sage Group plc is a UK-based multinational enterprise software company providing integrated business management solutions to small and medium-sized businesses globally.
",1198.5,-1.72,,-4.691848906560637,-8.893956670467503,-2.623685501697024
HSX,Hiscox Ltd,Financial Services,$3.7B,"Hiscox Ltd is a Bermuda-based international insurer specializing in niche areas like property, casualty, and specialty insurance for companies and high-net-worth individuals.
",1134.0,-1.65,,-3.242320819112628,5.0,-5.634132310915078
