,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
ENT,Entain Plc,Consumer Cyclical,$4.7B,"Entain PLC is a global sports betting and gaming company operating online and in retail, with brands like Ladbrokes and Coral.
",655.4,-11.69,"On February 11, 2025, Entain Plc's stock experienced a significant drop of approximately 10% to 11.69%. This downturn appears to be primarily due to the sudden departure of CEO Gavin Isaacs, who stepped down after only five months in the role. The company stated that the decision was made ""by mutual agreement,"" but did not provide further details.

In light of Isaacs' departure, Non-Executive Chair Stella David has been appointed as interim CEO, a position she previously held before Isaacs' arrival. Additionally, Pierre Bouchut will assume the role of interim non-executive chair while the company searches for a permanent CEO.
",-10.805659922702649,6.742671009771984,-27.866266129467277
AAL,Anglo American plc,Basic Materials,$28.3B,"Anglo American is a global mining company focused on producing copper, iron ore, and crop nutrients, essential for a sustainable global economy.
",2405.5,-3.88,"Based on the information available, here's what likely contributed to the change in Anglo American plc's stock price on February 11, 2025:

*   **Barclays lowered its price target:** Barclays reduced its price target for Anglo American to 2,880p, a 4% reduction from its previous valuation. At 08:30 ET (13:30 GMT), shares of the mining company were down 3.3%.
*   **Restructuring uncertainties:** Barclays attributed the price target adjustment to ongoing restructuring efforts within Anglo American. While these efforts are expected to drive long-term value, they present near-term uncertainties. The restructuring includes asset sales, cost-cutting initiatives, and a focus on core mining operations.
*   **Cost Savings:** The company plans to implement annual cost savings of approximately $800 million by the end of 2025.
*   **Divestment Plans:** The restructuring involves the divestment of Anglo American Platinum (Amplats), the sale of steelmaking coal assets, and the potential separation of De Beers. These moves aim to streamline operations and enhance shareholder value.
*   **Potential Volatility:** Barclays flagged that while these restructuring efforts could result in a more profitable and efficient company, they also bring short-term challenges, including potential volatility in earnings and the risk of execution delays.
",2.689434364994664,-2.690129449838188,42.1233613249981
GLEN,Glencore plc,Basic Materials,$42.3B,"Glencore PLC is a Swiss multinational commodity trading and mining company that produces, sources, processes, refines, transports, stores, finances, and supplies commodities worldwide.
",347.69,-3.27,"It's difficult to pinpoint the exact cause of Glencore plc's stock price change of -3.27% on February 11, 2025, with the information available. However, here's a breakdown of factors that could be influencing the stock:

**1. Analyst Ratings and Price Targets:**

*   **Citigroup maintained a ""Buy"" recommendation** on Glencore but **reduced the price target** from GBP 4.80 to GBP 4.60.
*   Other analysts, like those at RBC Capital, have also maintained ""Buy"" ratings.
*   Overall, the analyst consensus for Glencore is a ""Strong Buy"".

**2. Broader Market Trends:**

*   The FTSE 100 (the main stock market index in the UK) traded at a record high on Tuesday.
*   However, there were some individual stock movements within the FTSE 100. For example, Entain dropped over 10% after its CEO stepped down.

**3. Company-Specific News & Industry Trends:**

*   Glencore is featured in a report about the Aluminum Scrap Recycling Global Industry, which highlights the rising emphasis on sustainability and the circular economy. This suggests Glencore is a player in this market.
*   There's also a report of activist investor Elliott building a stake in BP, which could be relevant as it indicates activity in the energy/resources sector to which Glencore belongs.

**In conclusion:** While analyst recommendations are generally positive, a lowered price target from Citigroup could be a contributing factor to the stock price decrease. It's important to consider broader market trends and any specific news related to Glencore or its industry for a complete picture.
",-0.2610459230013335,-5.416214845738876,-9.357839559059784
EZJ,easyJet plc,Industrials,$3.8B,"easyJet plc is a British multinational low-cost airline group offering short-haul passenger flights and package holidays, primarily in Europe.
",508.0,-2.91,"On February 11, 2025, easyJet plc experienced a stock price change of -2.91 percent. While I don't have the exact cause for this specific change, here's a summary of factors that could be influencing the stock:

**Positive News & Market Data:**

*   **Crossed Moving Average:** easyJet's share price crossed above its 200-day moving average, which some investors see as a positive sign ([1]).
*   **Increased Dividend:** easyJet announced an increased dividend, payable on March 21st to stockholders of record on February 20th. This could be seen as a positive sign for investors ([1]).
*   **Analyst Rating:** JP Morgan maintained a ""Buy"" rating for easyJet stock with a target price of GBX 750 ([8]).
*   **Director Share Purchases:** Key managers recently purchased ordinary shares through the company's Share Incentive Plan ([2, 3]).
*   **Trading Data:** easyJet shares last traded at GBX 523.20, with a volume of 2,265,289 shares ([1]).

**Other News:**

*   **Emergency Landing:** An easyJet flight had to make an emergency landing due to the pilot collapsing. While the co-pilot landed the plane safely, this type of event could potentially affect investor sentiment ([4]).
*   **AGM and Board Changes:** easyJet has scheduled its Annual General Meeting (AGM) for February 13, 2025, and has announced some board changes ([5]).

**In conclusion:** While there is some positive news surrounding the company such as the ""buy"" rating from JP Morgan, increased dividend, and director share purchases, the emergency landing may have negatively impacted investor sentiment, contributing to the stock price change you observed.
",0.9940357852882704,2.8756607043467093,-8.871521014551305
LGEN,Legal & General Group Plc,Financial Services,$13.8B,"Legal & General Group PLC is a multinational financial services and asset management company, offering investment management, retirement solutions, and insurance products.
",239.8,-2.76,"On February 11, 2025, Legal & General Group PLC experienced a stock price change of -2.76%.

Here's what might be happening with Legal & General Group Plc:

*   **Stock Performance:** Legal & General Group PLC (LGEN:LSE) closed at 246.60, which is -7.36% below its 52-week high of 266.20, set on Feb 07, 2025.
*   **Recent News:**
    *   Legal & General completed a £370 million buy-in with the TUI Group UK Pension Trust.
    *   UBS remains bullish on the stock, reiterating its 'buy' rating.
    *   Legal & General's UK insurance business is its main cash generator, contributing around 60% of the group's total cash remittances.
    *   Legal & General is selling its US protection business to Meiji Yasuda and creating a long-term strategic partnership.
    *   Legal & General plans further buyback after US insurance sale to Meiji.

It is important to note that the information above is not an exhaustive list of all possible factors that may be influencing Legal & General Group Plc's stock price.
",1.7395006808838234,7.149238932111144,11.219842504171227
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,$16.8B,"InterContinental Hotels Group PLC (IHG) owns, manages, franchises, and leases hotels and resorts across various brands and segments globally.
",10595.0,-2.53,"On February 11, 2025, InterContinental Hotels Group PLC (IHG) experienced a stock price change of -2.53%.

Based on the information available, here's a summary of factors that could influence the stock:

*   **Overall Market Trends:** The United Kingdom Stock Market Index (GB100) was last updated on February 11, 2025, and had increased by 7.28% since the beginning of 2025.
*   **Company News:**
    *   IHG Hotels & Resorts is launching its first Ultra-Luxury Regent Hotel in Makkah.
    *   IHG Hotels & Resorts debuted its first Vignette Collection hotel in South America.
*   **Analyst Ratings:**
    *   Analysts' consensus is ""Outperform.""
    *   Based on 26 Wall Street analysts, 42% have a ""Buy"" rating, 50% have a ""Hold"" rating, and 7% have a ""Sell"" rating.
*   **Stock Price:**
    *   At 13:27 on February 11, 2025, the share price was 10765.00p.
    *   The previous day, February 10, 2025, the stock closed at 10870.00p.

Without more specific information, it's challenging to pinpoint the exact reason for the -2.53% change. However, you can monitor financial news sources for specific reports on IHG that might shed more light on the factors impacting its stock price today.
",-0.2823529411764706,5.213505461767626,40.88959437920997
WTB,Whitbread plc,Consumer Cyclical,$4.8B,"Whitbread PLC is a British multinational hospitality company that manages hotels and restaurants, with brands like Premier Inn, Brewers Fayre and Beefeater.
",2741.0,-2.49,"On February 11, 2025, Whitbread PLC's stock (WTB) experienced a change of -2.51% to 2,740.50 GBX.
To determine the specific reasons for this change, further information would be needed, such as:

*   **Specific News Announcements:** Check for news releases from Whitbread PLC on February 11, 2025, or the days leading up to it.
*   **Analyst Ratings:** See if there were any changes in analyst ratings or price targets for Whitbread PLC around that time.
*   **Broader Market Trends:** Consider the overall performance of the London Stock Exchange and the hospitality sector on that day.
*   **Financial Data:** Review Whitbread PLC's financial reports and key performance indicators (KPIs) to understand the company's overall health and performance.",-1.0469314079422383,-3.621659634317862,-17.81838603033429
BTRW,Barratt Redrow plc,Consumer Cyclical,$6.6B,"Barratt Redrow plc, formerly Barratt Developments PLC, is a UK-based housebuilder and commercial developer, acquiring land, obtaining planning consents, and constructing homes.
",436.2,-2.35,"On February 11, 2025, Barratt Redrow plc experienced a stock change of -2.35 percent.

Without specific real-time news or financial analysis for February 11, 2025, it's challenging to pinpoint the exact reason for the stock change. However, here are some potential factors that could influence stock price movements:

*   **Company-Specific News:**

    *   **Earnings Reports:** Barratt Redrow PLC is scheduled to release Half Year Results on Wednesday, February 12, 2025. Therefore, investors may be reacting to expectations, rumors, or leaks related to the upcoming report.
*   **Overall Market Conditions:** General market trends, economic news, and investor sentiment can all impact individual stock prices.
*   **Analyst Ratings:** Changes in ratings from financial analysts can influence how investors view a stock.
*   **Major Events:** Significant company announcements (acquisitions, mergers, etc.) or broader economic events could also play a role.

",-3.5169223377261076,8.291959587694473,-4.699709173260371
PSN,Persimmon Plc,Consumer Cyclical,$4.1B,"Persimmon Plc is a UK-based housebuilder that designs, constructs, and maintains residential buildings under the Persimmon Homes, Charles Church, and Westbury Partnerships brands.
",1234.0,-2.14,"On February 11, 2025, Persimmon Plc's stock (PSN) experienced a decrease of approximately 2.14%. Several sources provide the stock price and percentage change [1, 2, 8].

Without specific real-time news or analysis readily available, pinpointing the exact cause for this change on February 11, 2025, is challenging. However, I can offer some potential factors that generally influence stock prices and may be relevant to Persimmon Plc:

*   **Overall Market Conditions:** The performance of the broader UK stock market (e.g., the FTSE 100 or FTSE 350) can influence individual stock movements.
*   **Housing Market News:** As a housebuilder, Persimmon's stock is sensitive to news and data related to the UK housing market, such as:
    *   Changes in interest rates [5, 6]
    *   House prices
    *   Mortgage availability
    *   Government policies related to housing [2]
    *   Consumer confidence in the housing market [5]
*   **Company-Specific News:** Events specific to Persimmon can also drive stock price changes:
    *   Earnings reports and financial performance [5, 7]
    *   Sales figures and completion rates [5, 7]
    *   Changes in leadership or strategy [10]
    *   Analyst ratings and price targets
    *   Cost increases [6]
*   **Macroeconomic Factors:** Broader economic conditions, such as inflation, unemployment, and economic growth, can also indirectly affect the housing market and Persimmon's stock price [5].
*   **Global Events:** Geopolitical uncertainties can affect market sentiment and investor confidence [5].

Some reports from January 2025 may shed light on investor sentiment:

*   **January 14, 2025:** Persimmon released a trading statement indicating that completions were above forecast, and profit was expected to be at the higher end of the range. The company's shares rose 5.9% following this news [5, 7].
*   The company increased completions in 2024 and had a sound outlook for 2025 [5].
*   **Analyst View (January 14, 2025):** One analyst maintained a positive outlook, viewing the shares as materially undervalued [2].

**To determine the specific reason for the stock change on February 11, 2025, consulting financial news sources that would have covered the day's market activity and any company-specific announcements is recommended.**
",-2.141157811260904,10.771992818671453,-8.357054843648353
ANTO,Antofagasta plc,Basic Materials,$16.7B,"Antofagasta plc is a UK-based copper mining company with interests in transport and its core business is mining, mainly in Chile.
",1798.0,-2.04,"On February 11, 2025, Antofagasta plc's stock experienced a change of -2.04%. While I don't have specific reasons for this change, here's what I can tell you based on available information:

*   **Upcoming Full Year Results:** Antofagasta plc is scheduled to release its full year results for 2024 on February 18, 2025. The announcement will be accompanied by a presentation and conference call for investors.
*   **Analyst Ratings:** A recent report from Citi maintained a ""Buy"" rating on Antofagasta's stock with a price target of £23.00. However, the analyst consensus is a ""Hold"" with an average price target of p1,861.54.
*   **Technical Indicators:** Antofagasta's share price recently crossed above its 200-day moving average.

It's important to note that a multitude of factors can influence stock prices, including overall market conditions, industry trends, company-specific news, and investor sentiment. Further information will likely be available after the full year results are released on February 18, 2025.
",5.826957033549147,6.45352279455299,8.561771103047777
