,Company Name,Sector,Market Cap,Summary,Price,Change_percent
HWG,Harworth Group plc,Real Estate,$547.8M,"Harworth Group plc is a UK property developer specializing in brownfield regeneration, creating sustainable places for people to live and work in the North of England and the Midlands.
",166.95,-1.5
QQ,QinetiQ Group plc,Industrials,$2.0B,"QinetiQ Group plc is a global defense and security company providing technology and services primarily in the defense, security, and critical national infrastructure markets.
",360.2,-1.21
CHG,Chemring Group PLC,Industrials,$849.3M,"Chemring Group PLC is a global business providing advanced technology products and services to the aerospace, defence and security markets.
",309.0,-1.12
PAG,Paragon Banking Group PLC,Financial Services,$1.5B,"Paragon Banking Group PLC is a UK specialist bank providing mortgages for landlords, business loans, savings accounts, and asset finance.
",773.0,-1.02
ROO,Deliveroo plc,Consumer Cyclical,$2.0B,"Deliveroo is a UK-based online food delivery platform connecting consumers, riders, and restaurants.
",136.3,-0.94
BSIF,Bluefield Solar Income Fund,,$477.2M,"Bluefield Solar Income Fund is a UK investment trust focused on acquiring and managing a diversified portfolio of renewable energy assets, primarily solar, in the UK to provide stable income to investors.
",80.89,-0.86
HVPE,HarbourVest Global Priv Equity Ord,,$2.1B,"HarbourVest Global Private Equity invests in a diversified global portfolio of private companies through HarbourVest-managed funds, seeking long-term capital appreciation.
",2773.24,-0.6
POLN,Pollen Street Group Limited,Financial Services,$478.7M,"Pollen Street Group is a listed alternative asset manager focused on investments in the financial and business services sectors.
",780.0,-0.51
ITV,ITV plc,Communication Services,$2.8B,"ITV plc is a vertically integrated producer, broadcaster, and streamer creating, owning, and distributing content globally through ITV Studios and its Media & Entertainment division.
",74.7,-0.4
WOSG,Watches of Switzerland Group PLC,Consumer Cyclical,$1.3B,"Watches of Switzerland Group PLC is an international retailer of luxury watches and jewelry, operating under brands like Watches of Switzerland, Mappin & Webb, and Goldsmiths.
",553.0,-0.36
WPS,W.A.G payment solutions plc,Technology,$499.6M,"W.A.G Payment Solutions PLC (Eurowag) is a pan-European platform providing integrated payment and mobility solutions for the commercial road transport industry, including energy, toll payments, and related services.
",72.4,-0.28
HILS,Hill & Smith PLC,Industrials,$1.6B,"Hill & Smith PLC designs, manufactures, and supplies infrastructure products and galvanizing services for various global markets.
",1958.0,-0.2
SRP,Serco Group plc,Industrials,$1.6B,"Serco Group plc is a British multinational company providing public services in defense, justice, immigration, transport, health, and citizen sectors.
",156.8,-0.19
BCG,Baltic Classifieds Group PLC,Communication Services,$1.6B,"Baltic Classifieds Group PLC operates online classifieds portals for automotive, real estate, jobs & services, and general items in the Baltics.
",345.0,-0.14
IDS,International Distribution Services plc,Industrials,$3.5B,"International Distribution Services PLC provides postal and delivery services through its Royal Mail and GLS operations.
",365.2,-0.05
PCFT,Polar Capital Global Financials Ord,,$624.6M,"Polar Capital Global Financials Trust invests in global financial sector companies, including banks, insurers, asset managers, and fintechs, aiming for income and capital growth.
",205.98,-0.01
RWI,Renewi plc,Industrials,$639.7M,"Renewi plc is a waste-to-product company focused on extracting value from waste and used materials through recycling and treatment services, primarily in the Benelux region.
",801.0,0.0
DIG,Dunedin Income Growth Ord,,$384.9M,"Dunedin Income Growth aims to achieve income and capital growth by investing mainly in UK-listed companies that meet its sustainable and responsible investing criteria.
",283.0,0.0
